"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL44";"GENISTEIN";"2";"270.24";"0";"2.58";"28";"O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12";"IC50";"'='";"6900.0";"nM";"5.16";"";"";"UO_0000065";"19.10";"0.35";"2.58";"5.68";"False";"CHEMBL1687393";"Inhibition of BCRP expressed in MDCK cells using Hoechst 33342 staining";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MDCK";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1681785";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2011";"CHEMBL3308370"
"CHEMBL2011288";"";"0";"547.41";"2";"5.60";"1";"COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c2c1";"IC50";"'='";"380.0";"nM";"6.42";"";"";"UO_0000065";"11.73";"0.24";"0.82";"6.86";"False";"CHEMBL3111894";"Inhibition of human ABCG2 expressed in Sf9 insect cell membranes assessed as inhibition of quercetin-stimulated ATPase activity after 30 mins by colorimetric analysis in presence of sodium orthovanadate";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3108696";"1";"Scientific Literature";"J. Med. Chem.";"2013";"CHEMBL3308860"
"CHEMBL3110291";"";"0";"531.41";"2";"5.93";"4c";"CN(CCc1c[nH]c2ccccc12)C(=O)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1";"IC50";"'>'";"2000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3111894";"Inhibition of human ABCG2 expressed in Sf9 insect cell membranes assessed as inhibition of quercetin-stimulated ATPase activity after 30 mins by colorimetric analysis in presence of sodium orthovanadate";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3108696";"1";"Scientific Literature";"J. Med. Chem.";"2013";"CHEMBL3308860"
"CHEMBL2333998";"";"0";"306.33";"0";"3.26";"45";"COc1cc2ncnc(Nc3cccc(C#N)c3)c2cc1OC";"IC50";"'='";"1060.0";"nM";"5.97";"";"";"UO_0000065";"19.50";"0.35";"2.71";"7.46";"False";"CHEMBL3096293";"Inhibition of human BCRP expressed in MDCK2 cells assessed as Hoechst 33342 accumulation treated 30 mins before Hoechst 33342 addition measured up to 120 mins by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDCK-II";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091323";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";"CHEMBL3308862"
"CHEMBL3092498";"";"0";"508.42";"2";"7.17";"51";"COc1cc2nc(Nc3cccc(C(F)(F)F)c3)nc(Nc3cccc(C(F)(F)F)c3)c2cc1OC";"IC50";"'='";"610.0";"nM";"6.21";"";"";"UO_0000065";"12.22";"0.24";"-0.96";"9.10";"False";"CHEMBL3096292";"Inhibition of human BCRP expressed in MDCK2 cells assessed as pheophorbide A accumulation treated 30 mins before pheophorbide A addition measured up to 120 mins by flow cytometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDCK-II";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091323";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";"CHEMBL3308862"
"CHEMBL3110298";"";"0";"624.29";"2";"5.47";"7b";"O=C(NCc1cn(Cc2ccc(Br)cc2)nn1)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1";"IC50";"'='";"930.0";"nM";"6.03";"";"";"UO_0000065";"9.66";"0.22";"0.56";"6.08";"False";"CHEMBL3111894";"Inhibition of human ABCG2 expressed in Sf9 insect cell membranes assessed as inhibition of quercetin-stimulated ATPase activity after 30 mins by colorimetric analysis in presence of sodium orthovanadate";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3108696";"1";"Scientific Literature";"J. Med. Chem.";"2013";"CHEMBL3308860"
"CHEMBL3110297";"";"0";"545.39";"1";"4.70";"7a";"O=C(NCc1cn(Cc2ccccc2)nn1)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1";"IC50";"'='";"430.0";"nM";"6.37";"";"";"UO_0000065";"11.67";"0.24";"1.67";"6.41";"False";"CHEMBL3111894";"Inhibition of human ABCG2 expressed in Sf9 insect cell membranes assessed as inhibition of quercetin-stimulated ATPase activity after 30 mins by colorimetric analysis in presence of sodium orthovanadate";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3108696";"1";"Scientific Literature";"J. Med. Chem.";"2013";"CHEMBL3308860"
"CHEMBL442464";"";"0";"461.52";"0";"4.47";"2b";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3[N+](=O)[O-])cc1)CC2";"IC50";"'='";"77600.0";"nM";"4.11";"";"";"UO_0000065";"8.91";"0.17";"-0.36";"4.38";"False";"CHEMBL1047706";"Inhibition of BCRP expressed in MCF7 MX cells by Hoechst 33342 staining";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153145";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308403"
"CHEMBL594336";"";"0";"595.66";"2";"6.11";"5";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)Nc3ccc([N+](=O)[O-])cc3)cc1)CC2";"IC50";"'='";"540.0";"nM";"6.27";"";"";"UO_0000065";"10.52";"0.19";"0.16";"4.64";"False";"CHEMBL1047706";"Inhibition of BCRP expressed in MCF7 MX cells by Hoechst 33342 staining";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153145";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308403"
"CHEMBL396298";"ELACRIDAR";"0";"563.65";"2";"5.56";"GF-120918";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2";"IC50";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"11.35";"0.21";"0.84";"6.89";"False";"CHEMBL1047706";"Inhibition of BCRP expressed in MCF7 MX cells by Hoechst 33342 staining";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153145";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308403"
"CHEMBL475362";"";"0";"476.53";"0";"4.86";"1b";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccccc3[N+](=O)[O-])cc1)CC2";"IC50";"'='";"9080.0";"nM";"5.04";"";"";"UO_0000065";"10.58";"0.20";"0.18";"4.76";"False";"CHEMBL1047707";"Inhibition of BCRP expressed in MDCK cells by pheophorbide A assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MDCK";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153145";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308370"
"CHEMBL3763583";"";"0";"394.47";"0";"3.17";"36";"COc1cc(OC)c2c(=O)cc(N3CCN(CCc4ccccc4)CC3)oc2c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3767955";"Inhibition of ABCG2 in human MCF7/Topo cells by Hoechst 33342 assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3763047";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2016";"None"
"CHEMBL598642";"";"0";"327.34";"0";"2.58";"21";"CO/C(=C\c1ccc(O)c(O)c1)C(=O)N/C=C/c1ccc(O)cc1";"IC50";"'='";"18800.0";"nM";"4.73";"";"";"UO_0000065";"14.44";"0.27";"2.15";"4.77";"False";"CHEMBL1072091";"Inhibition of ABCG2 expressed in human NCI-H460/MX20 cells assessed as accumulation of ABCG2 substrate pheophorbide-A";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"H460/MX20";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156906";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None"
"CHEMBL2331723";"";"0";"541.65";"2";"6.54";"28";"COC(=O)c1ccc(-c2ccc(CCN3CCc4ccccc4C3)cc2)cc1NC(=O)c1ccc2ccccc2n1";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"11.00";"0.20";"-0.58";"8.33";"False";"CHEMBL2345054";"Inhibition of ABCG2 in human MCF7/Topo cells after 2 hrs by Hoechst 33342 microplate assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331405";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2013";"None"
"CHEMBL260654";"";"0";"344.36";"0";"3.32";"27";"COc1cc(O)c(C(=O)/C=C/c2c(OC)cccc2OC)c(OC)c1";"IC50";"'='";"350.0";"nM";"6.46";"";"";"UO_0000065";"18.75";"0.35";"3.14";"8.70";"False";"CHEMBL2050879";"Inhibition of ABCG2-mediated mitoxantrone efflux expressed in HEK293 cells after 48 hrs by flow cytometric analysis";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046378";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3307715"
"CHEMBL408709";"";"0";"495.42";"1";"5.32";"21";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3Br)cc1)CC2";"IC50";"'='";"21877.62";"nM";"4.66";"";"";"UO_0000065";"9.41";"0.20";"-0.66";"9.17";"False";"CHEMBL974473";"Inhibition of ABCG2 in human mitoxantrone-resistant MCF7 cells by Hoechst 33342 assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156730";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"CHEMBL3308403"
"CHEMBL411";"DIETHYLSTILBESTROL";"4";"268.36";"0";"4.83";"Diethylsilbesterol";"CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1";"IC50";"'>'";"500.0";"nM";"";"";"inhibitor [IC50>0.5uM]";"UO_0000065";"";"";"";"";"False";"CHEMBL2077079";"TP_TRANSPORTER: drug resistance(SN-38) in BCRP-expressing K562 cells";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"K562";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2074130";"18";"TP-search Transporter Database";"Mol. Cancer Ther.";"2003";"CHEMBL3308378"
"CHEMBL241862";"";"0";"254.28";"0";"3.30";"4";"COc1ccc(/C=C/C(=O)c2ccccc2O)cc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL1936798";"Inhibition of BCRP in human MCF7/MX cells assessed as Hoechst 33342 accumulation preincubated for 30 mins by Fluorometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7/MX";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933063";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None"
"CHEMBL1935205";"";"0";"328.36";"0";"3.62";"20";"COc1ccc(C(=O)/C=C/c2ccc(OC)c(OC)c2)c(OC)c1";"IC50";"'='";"2200.0";"nM";"5.66";"";"";"UO_0000065";"17.23";"0.32";"2.04";"10.48";"False";"CHEMBL1936798";"Inhibition of BCRP in human MCF7/MX cells assessed as Hoechst 33342 accumulation preincubated for 30 mins by Fluorometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7/MX";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933063";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None"
"CHEMBL573523";"";"0";"270.28";"0";"3.00";"9";"COc1cccc(/C=C/C(=O)c2ccc(O)cc2O)c1";"IC50";"'='";"1940.0";"nM";"5.71";"";"";"UO_0000065";"21.13";"0.39";"2.71";"8.56";"False";"CHEMBL1936799";"Inhibition of human BCRP expressed in MDCK2 cells assessed as Hoechst 33342 accumulation preincubated for 30 mins by fluorimetry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDCK-II";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933063";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"CHEMBL3308862"
"CHEMBL260597";"";"0";"284.31";"0";"3.31";"15";"COc1cccc(/C=C/C(=O)c2ccc(OC)cc2O)c1";"IC50";"'='";"1470.0";"nM";"5.83";"";"";"UO_0000065";"20.52";"0.38";"2.52";"10.46";"False";"CHEMBL1936799";"Inhibition of human BCRP expressed in MDCK2 cells assessed as Hoechst 33342 accumulation preincubated for 30 mins by fluorimetry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDCK-II";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933063";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"CHEMBL3308862"
"CHEMBL1935214";"";"0";"308.76";"1";"5.09";"36";"O=C(/C=C/c1ccc(Cl)cc1)c1ccc2ccccc2c1O";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL1936798";"Inhibition of BCRP in human MCF7/MX cells assessed as Hoechst 33342 accumulation preincubated for 30 mins by Fluorometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7/MX";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933063";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None"
"CHEMBL229907";"";"0";"284.31";"0";"3.31";"13";"COc1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1";"IC50";"'='";"2200.0";"nM";"5.66";"";"";"UO_0000065";"19.90";"0.37";"2.35";"10.15";"False";"CHEMBL1936799";"Inhibition of human BCRP expressed in MDCK2 cells assessed as Hoechst 33342 accumulation preincubated for 30 mins by fluorimetry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDCK-II";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933063";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"CHEMBL3308862"
"CHEMBL348475";"TARIQUIDAR";"3";"646.74";"2";"6.37";"Tariquidar";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2";"IC50";"'='";"526.0";"nM";"6.28";"";"";"UO_0000065";"9.71";"0.18";"-0.09";"5.64";"True";"CHEMBL1780905";"Inhibition of ABCG2 expressed in human MCF7/Topo cells by Hoechst microplate assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1777737";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"None"
"CHEMBL28";"APIGENIN";"0";"270.24";"0";"2.58";"9";"O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12";"IC50";"'='";"3100.0";"nM";"5.51";"";"";"UO_0000065";"20.38";"0.38";"2.93";"6.06";"False";"CHEMBL1687393";"Inhibition of BCRP expressed in MDCK cells using Hoechst 33342 staining";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MDCK";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1681785";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2011";"CHEMBL3308370"
"CHEMBL28626";"MORIN";"0";"302.24";"0";"1.99";"14";"O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12";"IC50";"'='";"21000.0";"nM";"4.68";"";"";"UO_0000065";"15.48";"0.29";"2.69";"3.56";"False";"CHEMBL1687393";"Inhibition of BCRP expressed in MDCK cells using Hoechst 33342 staining";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MDCK";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1681785";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2011";"CHEMBL3308370"
"CHEMBL3765286";"";"0";"385.42";"0";"3.48";"52";"COc1cc(OC)c2c(=O)cc(NCCc3ccc(OC)c(OC)c3)oc2c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3767955";"Inhibition of ABCG2 in human MCF7/Topo cells by Hoechst 33342 assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3763047";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2016";"None"
"CHEMBL150";"KAEMPFEROL";"0";"286.24";"0";"2.28";"12";"O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12";"IC50";"'='";"4700.0";"nM";"5.33";"";"";"UO_0000065";"18.61";"0.35";"3.05";"4.79";"False";"CHEMBL1687393";"Inhibition of BCRP expressed in MDCK cells using Hoechst 33342 staining";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MDCK";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1681785";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2011";"CHEMBL3308370"
"CHEMBL476292";"";"0";"254.28";"0";"3.40";"1";"COc1ccc2c(c1)C(=O)CC(c1ccccc1)O2";"IC50";"'='";"46000.0";"nM";"4.34";"";"";"UO_0000065";"17.06";"0.31";"0.94";"12.21";"False";"CHEMBL1687394";"Inhibition of BCRP expressed in MCF-7 MX cells using Hoechst 33342 staining";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1681785";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2011";"CHEMBL3308403"
"CHEMBL376915";"";"0";"340.38";"0";"4.02";"7";"CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O";"IC50";"'='";"3100.0";"nM";"5.51";"";"";"UO_0000065";"16.18";"0.30";"1.49";"6.33";"False";"CHEMBL1694230";"Inhibition of ABCG2 expressed in human NCI-H460 cells assessed as inhibition of PhA accumulation after 2 to 20 hrs relative to fumitremorgin C";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"NCI-H460";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687875";"1";"Scientific Literature";"J. Nat. Prod.";"2011";"CHEMBL3307677"
"CHEMBL1689345";"";"0";"452.46";"0";"3.95";"13";"C/C(=C/Cc1c(-c2cc(O)c(O)cc2O)oc2c3c(cc(O)c2c1=O)OC(C)(C)C=C3)CO";"IC50";"'='";"6500.0";"nM";"5.19";"";"";"UO_0000065";"11.46";"0.21";"1.24";"3.69";"False";"CHEMBL1694230";"Inhibition of ABCG2 expressed in human NCI-H460 cells assessed as inhibition of PhA accumulation after 2 to 20 hrs relative to fumitremorgin C";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"NCI-H460";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687875";"1";"Scientific Literature";"J. Nat. Prod.";"2011";"CHEMBL3307677"
"CHEMBL84";"TOPOTECAN";"4";"421.45";"0";"1.85";"Topotecan";"CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1";"IC50";"'<'";"170.0";"nM";"";"";"inhibitor [IC50<170nM]";"UO_0000065";"";"";"";"";"False";"CHEMBL2075189";"TP_TRANSPORTER: drug resistance(Imatinib mesylate) in BCRP-expressing SaoS2 cells";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"SAOS-2";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2074232";"18";"TP-search Transporter Database";"Cancer Res.";"2004";"CHEMBL3307737"
"CHEMBL495936";"LEUKOTRIEN C4";"0";"625.79";"2";"2.78";"LCT4";"CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)[C@@H](O)CCCC(=O)O";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL938929";"Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140935";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL506742";"";"0";"646.74";"2";"6.37";"13";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(NC(=O)c4cnc5ccccc5c4)c(OC)c(OC)c3)cc1)CC2";"IC50";"'='";"858.0";"nM";"6.07";"";"";"UO_0000065";"9.38";"0.17";"-0.30";"5.45";"False";"CHEMBL938929";"Inhibition of ABCG2 overexpressed in human MCF7/Topo cells by flow cytometric-based mitoxantrone efflux assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7/Topo";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140935";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL599745";"";"0";"325.36";"0";"3.18";"20";"CO/C(=C\c1ccc(OC)cc1)C(=O)N/C=C/c1ccc(O)cc1";"IC50";"'='";"6400.0";"nM";"5.19";"";"";"UO_0000065";"15.96";"0.30";"2.01";"7.66";"False";"CHEMBL1072091";"Inhibition of ABCG2 expressed in human NCI-H460/MX20 cells assessed as accumulation of ABCG2 substrate pheophorbide-A";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"H460/MX20";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156906";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None"
"CHEMBL118812";"";"0";"342.36";"0";"4.95";"12";"O=[N+]([O-])c1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1";"IC50";"'='";"130.0";"nM";"6.89";"";"";"UO_0000065";"20.11";"0.36";"1.94";"8.51";"True";"CHEMBL2162314";"Inhibition of human BCRP expressed in MDCK2 cells preincubated for 30 mins prior to Hoechst 33342 addition measured every 60 secs up to 120 mins by Hoechst 33342 accumulation assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDCK-II";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2157920";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"CHEMBL3308862"
"CHEMBL272036";"";"0";"377.48";"1";"5.11";"4";"COc1cccc(CCc2ccccc2NCc2ccc(OC)c(OC)c2)c1";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"16.69";"0.31";"1.19";"15.86";"False";"CHEMBL938574";"Inhibition of ABCG2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140844";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None"
"CHEMBL3810160";"";"0";"457.53";"1";"6.95";"33";"COc1ccc(/C=C/C(=O)c2ccc(Nc3nc(-c4ccccc4)nc4ccccc34)cc2)cc1";"IC50";"'='";"3550.0";"nM";"5.45";"";"";"UO_0000065";"11.91";"0.21";"-1.50";"8.50";"False";"CHEMBL3813115";"Inhibition of human C-terminal GFP-tagged ABCG2 expressed in MDCK2 cells using pheophorbide A as substrate preincubated for 20 mins followed by substrate addition measured after 120 mins by flow cytometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MDCK-II";"None";"CHEMBL5393";"ATP-binding cassette sub-family G member 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3808298";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2016";"CHEMBL3308862"
